time,up_speed,down_speed
17:12:41,132,66
17:12:42,594,763
17:12:43,5714,12952
17:12:44,35028,1196500
17:12:45,0,0
17:12:46,0,0
17:12:47,0,0
17:12:48,66,62
17:12:49,147,93
17:12:50,0,0
17:12:51,35000,1224950
17:12:52,36832,1321653
17:12:54,68462,2895511
17:12:55,59851,2476524
17:12:56,18223,464060
17:12:57,0,0
17:12:58,4472,323078
17:12:59,3588,86652
17:13:00,0,0
17:13:01,9522,424450
17:13:02,0,0
17:13:03,3875,109062
17:13:04,4269,214075
17:13:05,3521,85158
17:13:06,3867,237833
17:13:07,3071,65736
17:13:08,6874,257184
17:13:09,0,0
17:13:10,8597,322924
17:13:11,0,0
17:13:12,8177,322922
17:13:13,1343,760
17:13:14,7139,322858
17:13:15,0,0
17:13:17,6845,322924
17:13:18,0,0
17:13:19,9179,322858
17:13:20,147,93
17:13:21,12593,322924
17:13:22,225,213
17:13:23,11894,411316
17:13:24,6459,322926
17:13:25,0,0
17:13:26,0,0
17:13:27,7099,322860
17:13:28,7903,322988
17:13:29,24266,2370
17:13:30,0,0
17:13:31,7873,322860
17:13:32,66,64
17:13:33,0,0
17:13:34,7258,323232
17:13:35,66,93
17:13:36,9144,417271
17:13:37,9191,322860
17:13:39,0,0
17:13:40,7111,322926
17:13:41,0,0
17:13:42,0,0
17:13:43,0,0
17:13:44,7111,322857
17:13:45,0,0
17:13:46,8497,322857
17:13:47,0,0
17:13:48,6784,322985
17:13:49,147,93
17:13:50,0,0
17:13:51,11957,322857
17:13:52,424,457
17:13:53,9568,322860
17:13:54,0,0
17:13:55,0,0
17:13:56,10452,322860
17:13:57,66,313
17:13:58,1266,782
17:13:59,42187,331339
17:14:00,0,0
17:14:02,9742,322992
17:14:03,0,0
17:14:04,5440,322860
17:14:05,954,186
17:14:06,159,186
17:14:07,11911,322993
17:14:08,0,0
17:14:09,0,0
17:14:10,66,198
17:14:11,8698,322861
17:14:12,0,0
17:14:13,0,0
17:14:14,7088,322861
17:14:15,0,0
17:14:16,8800,322861
17:14:17,0,0
17:14:18,8660,325848
17:14:19,213,157
17:14:20,1138,0
17:14:21,10078,379632
17:14:22,491,417
17:14:24,0,0
17:14:25,15763,323855
17:14:26,0,0
17:14:27,0,0
17:14:28,7878,322860
17:14:29,66,110
17:14:30,17038,325854
17:14:31,0,0
17:14:32,0,0
17:14:33,0,0
17:14:34,294,186
17:14:35,147,93
17:14:36,9492,324487
17:14:37,0,0
17:14:38,0,0
17:14:39,11209,322922
17:14:40,0,0
17:14:41,0,0
17:14:42,6965,322858
17:14:43,0,0
17:14:44,198,229
17:14:45,0,0
17:14:47,0,0
17:14:48,0,0
17:14:49,147,93
17:14:50,11627,322857
17:14:52,78,326
17:14:53,545,682
17:14:54,8222,323001
17:14:55,0,0
17:14:56,6100,322923
17:14:57,7366,322884
17:14:58,0,0
17:14:59,7556,322950
17:15:00,66,64
17:15:01,9558,324378
17:15:02,0,0
17:15:03,8186,322884
17:15:04,668,279
17:15:05,8063,323016
17:15:06,171,133
17:15:07,11508,322857
17:15:08,0,0
17:15:09,0,0
17:15:10,0,0
17:15:11,10300,322857
17:15:12,0,0
17:15:13,66,237
17:15:14,0,0
17:15:15,9304,322923
17:15:17,0,0
17:15:18,0,0
17:15:19,0,0
17:15:20,213,157
17:15:21,0,0
17:15:22,0,0
17:15:23,13917,330588
17:15:24,0,0
17:15:25,0,0
17:15:26,11810,322857
17:15:27,0,0
17:15:28,3810,6264
17:15:29,15460,324517
17:15:30,0,0
17:15:31,0,0
17:15:32,0,0
17:15:33,1135,62814
17:15:34,6594,260362
17:15:35,147,93
17:15:36,105,133
17:15:37,66,0
17:15:38,8443,322990
17:15:40,66,64
17:15:41,0,0
17:15:42,0,0
17:15:43,2029,30481
17:15:44,0,0
17:15:45,108,108
17:15:46,0,0
17:15:47,0,0
17:15:48,66,62
17:15:49,147,93
17:15:50,0,0
17:15:51,198,327
17:15:52,376,557
17:15:53,264,411
17:15:54,0,0
17:15:55,0,0
17:15:56,496,239
17:15:57,14856,995507
17:15:58,171,105
17:15:59,66,64
17:16:00,0,0
17:16:02,0,0
17:16:03,0,0
17:16:04,0,0
17:16:05,0,0
17:16:06,441,279
17:16:07,0,0
17:16:08,171,133
17:16:09,66,62
17:16:10,0,0
17:16:11,1948,9732
17:16:12,420,54
17:16:13,0,0
17:16:14,0,0
17:16:15,0,0
17:16:16,2906,760
17:16:17,0,0
17:16:18,0,0
17:16:19,25474,1094284
17:16:20,74507,2965948
17:16:21,33974,1309876
17:16:22,21823,760181
17:16:23,0,0
17:16:25,5890,322653
17:16:26,9056,343569
17:16:27,0,0
17:16:28,10814,451068
17:16:29,66,62
17:16:30,18532,2001
17:16:31,6636,322584
17:16:32,0,0
17:16:33,0,0
17:16:34,5812,323958
17:16:35,705,651
17:16:36,10596,323294
17:16:37,171,133
17:16:38,0,0
17:16:39,10110,322588
